SUPERMERCADO TRADICAO LTDA;;;;;;;;;;;;;;;
CEP 12248440 SAO JOSE DOS CAMPOS - SP;;;;;;;;;;;;;;;
CNPJ: 47.692.182/0001-72;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Código Barras;Data Venda;Descrição;Curva;Pedido?;Estoque Atual;Cobertura;Descrição Grupo;Descrição Seção;Descrição SubGrupo;Desc. Fornecedor Pref;Mark-Down;Qtd.Embalagem Compra;Valor Venda;Custo c/Imp;Venda Média
78903418;24/12/2025;CIGARRO PHM MARLBORO BOX RED;A;Não;19;28;TABACO;TABACARIA;FILTRO BRANCO;PHILIP MORRIS BRASIL IND. COM. LTDA;7,66%;10;14,75;13,62;0,675
7,89674E+12;25/12/2025;COQUETEL VINHO CANTINHO DO VALE 2LT;A;Não;47;44;COQUETEL / BEBIDA MISTA;BEBIDAS ALCOOLICAS;COQUETEL PET;FEMAR COMERCIO DE BEBIDAS LTDA;30,61%;6;11,99;8,66;1,0583
7,89802E+12;29/11/2025;CR DE AVELA NUTELLA PT 350G;A;Não;0;0;BOMBONIER;MERCEARIA DOCE;CHOCOLATES E BOMBONS;CBB DISTRIBUIDORA LTDA;25,61%;12;32,99;25,32;0,4059
7,8985E+12;20/11/2025;FAR DE TRIGO SELECT 1KG T1;A;Não;12;4;FARINHAS;FARINACEOS;FARINHA DE TRIGO;DESTRO BRASIL DISTRIBUICAO LTDA;30,08%;10;3,99;2,87;2,8667
13154;20/12/2025;FLV LARANJA BAHIA;A;Não;-11,123;0;FRUTAS;HORT FRUTI;CITRICAS;RJ CITR. E COM. DE HORTIGRANJEIROS LTDA;44,29%;1;4,99;2,78;4,3298
5791;24/12/2025;FLV MANGA LOLITA (ESPADA);A;Não;174,94;53;FRUTAS;HORT FRUTI;VITAMINADAS;SAO FRANCISCO FRUTAS LTDA;47,61%;1;8,99;4,71;3,3228
5845;22/12/2025;FLV MAXIXI;A;Não;236,7;377;LEGUMES;HORT FRUTI;LEGUMINOSAS;ZOINHO COMERCIO DE LEGUMES LTDA ME;43,05%;1;7,99;4,55;0,6278
5142;24/12/2025;FLV UVA VITORIA (PRETA) S/ SEMENTE KG;A;Não;241,328;243;FRUTAS;HORT FRUTI;VITAMINADAS;SUPERMERCADO TRADICAO LTDA;15,32%;1;12,99;11;0,9912
6842;26/12/2025;FRIOS MORTADELA DEF SEARA;A;Não;57,255;145;FRIOS TRADICIONAIS;FRIOS;MORTADELA;SEARA COMERCIO DE ALIMENTOS LT ILHA;45,95%;9,5;27,99;16,32;0,3943
16209;06/12/2025;FRIOS SALAME TP HAMBURGUES AURORAKG;A;Não;4,064;46;FRIOS ESPECIAIS;FRIOS;SALAMES;COOPERATIVA CENTRAL AURORA ALIMENTOS;37,61%;1;124,99;82,32;0,0891
7,8949E+12;19/12/2025;FRIOS SALAME TP ITALI FT SEARA 100G;A;Não;4;4;FRIOS ESPECIAIS;FRIOS;SALAMES;SEARA COMERCIO DE ALIMENTOS LT ILHA;43,34%;1;12,99;7,88;1,05
7,89635E+12;14/12/2025;LEITE COND MARAJOARA TP 395G;A;Não;3;1;PRODUTOS P/ SOBREMESA;MERCEARIA DOCE;LEITE CONDENSADO;DESTRO BRASIL DISTRIBUICAO LTDA;31,47%;27;6,99;4,99;2,2333
7,89607E+12;08/11/2025;LEITE INTEGRAL HERCULES 1L;A;Não;5;0;LEITE UHT/PASTEURIZADO;MERCEARIA BASICA;INTEGRAL;IRMAOS MUFFATO SA MAX SJ CAMPOS;12,53%;12;4,79;4,19;19,4273
7,89822E+12;18/12/2025;LEITE INTEGRAL NINHO 1LT;A;Não;9;4;LEITE UHT/PASTEURIZADO;MERCEARIA BASICA;INTEGRAL;IRMAOS MUFFATO SA MAX SJ CAMPOS;41,16%;12;8,99;5,29;2,1583
7,89635E+12;26/12/2025;MANTEIGA  CATUPIRY PT 200G C/ SAL;A;Não;24;19;MANTEIGA;LATICINIOS;COM SAL;BATISTELA C.R.G.A.LTDA EST.JARDIM 653 SJC;26,69%;1;11,99;8,79;1,2468
7,8949E+12;26/12/2025;MARG DELICIA 500G CS;A;Não;40;36;MARGARINA;LATICINIOS;COM SAL;FRANCO SIQUEIRA COMERCIO DE CARNES LTDA;26,93%;1;9,99;7,3;1,125
7,89111E+12;28/10/2025;OLEO DE SOJA SOYA 900 ML;A;Não;366;219;OLEO;MERCEARIA BASICA;SOJA;IRMAOS MUFFATO SA MAX SJ CAMPOS;12,24%;20;8,99;7,89;1,675
